Position,TeamName,Herkunft
1,Agustiner,Deutschland Neuruppin
2,Blutgrätsche,Deutschland Lübeck
3,Cranium ex Machina,Deutschland Hamburg
4,Die Leere Menge,Deutschland Greifswald
5,Fischkoppkrieger,Deutschland Kiel
6,Hutgruppe Nord,Deutschland Lübeck
7,Kamikaze Eulen,Deutschland Rethwisch
8,Likedeeler Rostock,Deutschland Rostock
9,Living Undeads,Deutschland Hannover
10,S.H.I.E.L.D,Deutschland Bundesweit
11,Torpedo Bääm!,Deutschland Hamburg
12,Victim,Deutschland Rethwisch
13,Wütende Tintenfische,Deutschland Kiel
14,Wadenbeisser,Deutschland Lübeck
